t,T,T_eff,L,rho,R,X
15642333.088873884,26897734.501868736,16005.495056357793,10.205193749436242,19.659596336298538,0.41545650649119803,0.9726667365055395
16129138.368369743,27040982.87648922,16053.321478107724,10.221405255739342,19.96711476314426,0.41331261316997225,0.9722030930025047
14966799.559322491,26959393.690157484,16016.947462610682,10.17478932935547,19.832715221658674,0.414244138286137,0.9733904084298879
15359240.713790582,26917234.75184713,16008.406945072755,10.192648244536292,19.717413690460976,0.41505002801487967,0.9729677234044667
15751681.868258676,26994728.940077756,16035.60657282721,10.206830798691277,19.87777589881847,0.41393088654325083,0.9725830986859213
16536564.17719486,26952319.437012807,16031.039652403168,10.241333945035713,19.743636512518023,0.4148661948581323,0.9717527380096713
16929005.331662953,27047023.35775339,16063.434402466544,10.255269269313109,19.943511645979434,0.4134756005149163,0.9713679550346742
17321446.486131046,26909860.42102549,16026.492392143298,10.276178719639775,19.609893071337027,0.4158072159205168,0.9709169244866885
16446936.008720912,26957152.157591004,16031.559078216955,10.237388145305756,19.75889314848492,0.4147593890730269,0.9718475594953103
16794563.078952033,27029361.15881287,16056.76106923537,10.250065141090756,19.909004280120516,0.4137143487419017,0.9715036782674077
17142190.14918315,26933563.876751363,16031.725481931668,10.267786384783516,19.67243762424727,0.41536608966929944,0.9711119666307498
17837444.28964539,26998454.781865314,16058.367162004237,10.295586354198884,19.788983253348718,0.4145490618712995,0.9704026237857519
18185071.359876506,26919589.71623431,16038.40896365162,10.313035698963056,19.592043074900282,0.4159334560198755,0.9700118563507225
18532698.430107623,27044962.352929093,16079.551430180212,10.324196327345312,19.863281670370938,0.4140315437964657,0.969683524030895
19227654.1213234,26984322.72730126,16068.694533182048,10.356169532179154,19.691402556164807,0.41523269947753855,0.9689330975830776
19575131.966931287,27092904.350979254,16104.839315026358,10.368041132953786,19.924393822342573,0.41360780406355424,0.968595823414954
19922609.812539175,26942458.393108748,16063.474640538203,10.387843194242974,19.56323547896421,0.41613751508126134,0.9681838403941344
20557697.738345988,27032123.89629967,16097.027129793321,10.412930072634236,19.738149613699946,0.4149046334146558,0.9675370472524893
20875241.70124939,26928541.429493934,16069.361685179703,10.43018766105993,19.487017715185345,0.41667934264094675,0.9671671684226936
21192785.664152797,27083424.88722977,16119.118840186695,10.4394108092825,19.825566658497486,0.4142939207142742,0.9668752025365177
21813593.08659985,27021261.03081038,16107.102882554118,10.468862585347317,19.653828212410517,0.4154971460750789,0.9661951920756336
22123996.797823373,27117249.212805863,16139.157376768018,10.47975494689012,19.858674450581937,0.4140635598109179,0.9658901611174687
22434400.509046897,26990909.654333502,16104.629785540263,10.497550398575633,19.55529311137338,0.41619384543537197,0.9655210474334156
23073029.637773715,27060757.197242774,16132.38586902947,10.523985182450902,19.6839872176324,0.41528483499310886,0.9648574476343678
23392344.20213712,26981180.311065514,16111.961296000074,10.540928865397586,19.48785072427776,0.41667340556367677,0.9644891354701596
23711658.76650053,27103529.024252135,16152.062998650652,10.551491599943489,19.750996912985208,0.41481465381876065,0.9641820669793895
24380718.372963153,27050564.44863618,16143.387686657154,10.583476314360695,19.598252758318623,0.41588952203670926,0.9634457620669454
24715248.176194467,27145434.732448094,16175.443334258147,10.595791131803061,19.798344677964895,0.4144837132832277,0.9631103050742967
25049777.97942578,27016365.760964658,16140.361687897606,10.615142277985662,19.488690313487812,0.41666742193054324,0.9627107759560489
25698619.968993653,27097077.694954414,16171.600856204448,10.642334002151522,19.64059150068537,0.4155904660900731,0.9620315982300108
26023040.963777587,26999646.59888478,16145.894253479504,10.660453690725864,19.404430409863444,0.4172696497255741,0.9616485646300297
26347461.958561525,27149196.713828668,16194.296672473067,10.670670645281781,19.72771484811068,0.4149777736560762,0.961339950297488
26971894.43886304,27083249.152132057,16181.328088727147,10.70173399249253,19.547695376665466,0.4162477600745832,0.960640283541582
27284110.679013792,27188645.38600585,16216.365915706845,10.712969630869454,19.77189113605522,0.4146684819171814,0.9603284338628275
27596326.91916455,27047447.10148136,16177.418669755632,10.732079113951167,19.43664761046225,0.4170389738952599,0.9599457201984279
28205162.15646519,27125322.04953783,16207.483673884291,10.758126421264588,19.583053031310637,0.4159970941707235,0.959301735754352
28509579.775115512,27037964.858982146,16184.602716201276,10.775349367083054,19.371222416201302,0.4175079547219804,0.9589400623259028
28813997.393765833,27169766.208321977,16227.542076243808,10.785464960551693,19.653955270337526,0.4154962507112858,0.958644317726242
29446360.84770602,27116162.25807196,16218.434539887356,10.817173555724569,19.501800319801035,0.4165740333382009,0.9579323024725773
29762542.57467611,27207553.67934261,16249.390285992566,10.829339736518525,19.69297184525201,0.41522166952806305,0.9576081234900596
30078724.301646207,27085396.483342186,16216.20818602753,10.848402390184816,19.40166481246861,0.41728947525841154,0.9572230690370537
30716041.937174592,27160086.281720158,16245.739770706488,10.876525715107674,19.53860151571883,0.416312328191765,0.9565393342870798
31034700.754938785,27070458.80405619,16222.358431217106,10.894885573140158,19.32154076650398,0.4178654957537132,0.9561573277079198
31353359.572702978,27209306.909370854,16267.653897721195,10.90572646252517,19.618213278986392,0.41574842545670415,0.9558440621272254
31980876.526691183,27146623.68060321,16255.84479136449,10.938215549487182,19.445958588809432,0.41697240203744124,0.955127022210009
32294635.003685288,27251649.850794777,16290.94034471819,10.950120538804804,19.667102383163037,0.41540364608920227,0.954805562974546
32608393.48067939,27109427.25501579,16251.7140921593,10.970133589799955,19.33165226172762,0.41779262766155956,0.9544134659675001
33209034.308023646,27191144.623370174,16283.065856541423,10.996899380494428,19.485138971234583,0.4166927341909,0.9537648861046006
33509354.721695777,27097730.285118002,16258.356346220004,11.014862937873017,19.261184471657362,0.4183015110834362,0.9533986929796983
33809675.13536791,27238630.382503614,16304.151090398154,11.02502099118206,19.561935317809592,0.41614673424144977,0.9531026007705871
34416341.584498346,27180806.41834729,16293.642464072505,11.057028092543604,19.401856239121084,0.4172881028709951,0.9524028550693092
34719674.80906357,27275754.12205865,16325.664448512565,11.069045083321196,19.59980585705944,0.4158785366463538,0.9520864349817684
35023008.033628784,27149385.80475943,16291.097290910551,11.088412374391364,19.30144301586257,0.41801048048076883,0.951707048729649
35634978.91233836,27223452.957903963,16320.383490625116,11.11662279258246,19.436347750696758,0.4170411185465669,0.9510361091368397
35940964.35169315,27136705.52938797,16297.77013903262,11.135030706218508,19.22754381488508,0.41854532344753215,0.950661697302125
36246949.791047946,27270257.54910567,16341.497278994557,11.14599017373068,19.510342815036026,0.41651322625375115,0.9503532967307697
36864691.33987544,27211504.266224165,16330.911108523465,11.179299653501117,19.34783619270446,0.4176761044987133,0.9496332186450738
37173562.11428918,27311968.252661362,16364.73056415268,11.19171974511657,19.556886921305363,0.41618253907037844,0.9493081253860042
37482432.88870293,27176027.95663531,16327.354729772967,11.21209953310883,19.237842372356663,0.4184706237597135,0.9489159046203691
38080360.76139021,27256703.439415265,16358.586339998,11.240038444725565,19.38718419803243,0.417393342915173,0.9482551866344152
